"Item";"Count";"Category";"Threshold"
"(new)Fujitsu SP-1120N(document scanner)";"5";"Workstation";"0"
"24in monitor";"17";"Monitors";"0"
"7800 wall mount kit Cisco Cisco Phone";"0";"Mounting";"0"
"8800 wall mount kit Cisco Cisco Phone";"0";"Mounting";"0"
"8861 Cisco Phone";"24";"Cisco Phone";"0"
"All in ones";"1";"Computer";"0"
"Apc rep battery";"16";"UPS";"0"
"Badge tap";"142";"Workstation";"0"
"Barcode Scanner";"22";"Peripheral";"0"
"Cisco 561 single ear wireless";"20";"Headset";"0"
"Cisco 562";"5";"Headset";"0"
"Cisco 730 dual ear wireless ";"7";"Headset";"0"
"Cisco Headset 531 single USB";"53";"Headset";"0"
"Cisco pwr cube box";"0";"Cisco Other";"0"
"Datamax E-4205A(label printer)";"17";"Label Printer";"0"
"Datamax I-4212e(large label printer)";"1";"Label Printer";"0"
"Dell Thick Client (Mini)";"5";"Computer";"0"
"Health card reader";"30";"Workstation";"0"
"Honeywell rover batteries";"0";"Cell Phone";"0"
"Honeywell rover charging stations";"0";"Cell Phone";"0"
"HP elitebook large";"0";"Laptops";"0"
"HP elitebook old";"0";"Laptops";"0"
"HP elitebook small";"0";"Laptops";"0"
"HP envy";"15";"Laptops";"0"
"HP Laptop 12.9 In.";"0";"Computer";"0"
"HP Laptop 15 In.";"0";"Computer";"0"
"Hp laserJet 550";"8";"Laser Printer";"0"
"Hp laserjet m608";"0";"Laser Printer";"0"
"Hp laserjet m610";"0";"Laser Printer";"0"
"Hp old all in one";"0";"Computer";"0"
"HP probook";"31";"Laptops";"0"
"HP USB-C dock G5";"87";"Workstation";"0"
"Infineax iCisco Phone cases";"0";"Cell Phone";"0"
"Jabra";"30";"Headset";"0"
"Joy iPad cases";"0";"Cell Phone";"0"
"Keyboard";"0";"Peripheral";"0"
"Laser jet m607(medium size)";"0";"Laser Printer";"0"
"Laserjet m404dn";"12";"Laser Printer";"0"
"Logitech wireless keyboard";"79";"Trackboard";"0"
"Logitech wireless mice";"54";"Trackboard";"0"
"Medical grade all in one";"2";"Computer";"0"
"Medium apc";"0";"UPS";"0"
"Monitor stand";"16";"Monitor";"0"
"Mouse";"0";"Peripheral";"0"
"Other Printer";"2";"Laser Printer";"0"
"port superspeed usb hub";"8";"Cable";"0"
"port usb display port cable KVM switch";"2";"Cable";"0"
"port usb-c mini hub";"8";"Cable";"0"
"Power bars";"21";"Cable";"0"
"Rocket hub MF279T";"16";"Network";"0"
"RSA tokens";"48";"Security";"0"
"Speech mike";"14";"Peripheral";"0"
"Thick Client (Full)";"9";"Computer";"0"
"Thick Client (Mini)";"54";"Computer";"0"
"Thin Client";"0";"Computer";"0"
"UPSs";"0";"Cable";"0"
"USB extenders";"159";"Cable";"0"
"Wireless barcode scanners";"0";"Peripheral";"0"
"Zebra";"0";"Cell Phone";"0"
